tweet_id,favorite_count,retweet_count
857989990357356544,14839,2318
857746408056729600,31547,9587
857393404942143489,5437,1475
857263160327368704,18641,4081
857214891891077121,207,16
857062103051644929,0,152
857029823797047296,17438,3589
856543823941562368,15197,2616
856526610513747968,11073,1704
856288084350160898,494,15
856282028240666624,25800,5720
855862651834028034,309,22
855860136149123072,4537,876
855857698524602368,11081,1906
855851453814013952,42829,16520
855818117272018944,24813,4944
855459453768019968,27720,7483
855245323840757760,0,5415
855138241867124737,0,39
854732716440526848,21199,5527
854482394044301312,27224,6195
854365224396361728,17612,4272
854120357044912130,29859,6798
854010172552949760,15196,2881
853760880890318849,26708,5267
853639147608842240,32326,9124
853299958564483072,14494,3252
852936405516943360,0,1832
852912242202992640,8452,1656
852672615818899456,14002,1991
852553447878664193,15263,3205
852311364735569921,31077,9119
852226086759018497,18739,6264
852189679701164033,10797,1458
851861385021730816,0,19
851591660324737024,15314,3219
851464819735769094,22822,6503
851224888060895234,19491,5305
850753642995093505,28867,8337
850380195714523136,12359,2400
850333567704068097,3265,306
850145622816686080,15374,3491
850019790995546112,19230,4501
849776966551130114,28620,7017
849668094696017920,0,4587
849412302885593088,15009,2913
849336543269576704,10794,1739
849051919805034497,39959,7853
848690551926992896,23843,4017
848324959059550208,23382,4281
848213670039564288,7734,669
848212111729840128,15420,2802
847978865427394560,0,3021
847971574464610304,0,410
847962785489326080,22265,4719
847842811428974592,5131,1221
847617282490613760,6639,383
847606175596138505,17794,3176
847251039262605312,19445,4033
847157206088847362,18808,5401
847116187444137987,20352,2956
846874817362120707,19059,3651
846514051647705089,42180,10718
846505985330044928,13399,2851
846153765933735936,29868,8428
846139713627017216,29458,9414
846042936437604353,15168,2665
845812042753855489,27721,8088
845677943972139009,23964,4500
845397057150107648,7268,1659
845306882940190720,22150,5017
845098359547420673,0,7139
844979544864018432,12951,2373
844973813909606400,14278,2949
844580511645339650,15636,2894
844223788422217728,13021,2043
843981021012017153,14458,2772
843856843873095681,20445,4302
843604394117681152,16089,2556
843235543001513987,20469,5585
842846295480000512,14580,3410
842765311967449089,6429,1197
842535590457499648,17310,3284
842163532590374912,23310,5415
842115215311396866,13324,2837
841833993020538882,0,14011
841680585030541313,24607,7359
841439858740625411,12030,3419
841320156043304961,18899,5173
841314665196081154,15109,4355
841077006473256960,21839,5006
840761248237133825,0,1653
840728873075638272,0,15032
840698636975636481,170,2
840696689258311684,11737,907
840632337062862849,8609,1653
840370681858686976,15707,4287
840268004936019968,18363,5381
839990271299457024,12833,2127
839549326359670784,26194,7286
839290600511926273,0,137
839239871831150596,25847,6100
838952994649550848,18808,3761
838921590096166913,10656,1919
838916489579200512,0,31
838831947270979586,0,10355
838561493054533637,10509,1257
838476387338051585,21496,4469
